name,stars,review_count,price,score,poi,cityname,address,,,,
星巴克,35,227,￥38/人,口味:7.5 环境:7.4 服务:7.5,"{""lat"": 121.44604, ""lng"": 31.22273}",上海市,轨道交通二号线静安寺车站五号出口,,,,
星巴克,40,197,￥37/人,口味:8.1 环境:8.2 服务:7.7,"{""lat"": 121.476875, ""lng"": 31.252855}",上海市,宝山路202号,,,,
星巴克,35,72,￥56/人,口味:7.5 环境:7.5 服务:7.4,"{""lat"": 121.45314, ""lng"": 31.22806}",上海市,南京西路1266号恒隆广场2期1号楼1层,,,,
星巴克,35,129,￥38/人,口味:7.7 环境:7.8 服务:7.7,"{""lat"": 121.44406, ""lng"": 31.298209}",上海市,江场二路77、79号,,,,
星巴克,35,65,￥47/人,口味:7.7 环境:7.8 服务:7.5,"{""lat"": 121.355288, ""lng"": 31.227174289218677}",上海市,通协路272号虹桥国际商务花园尚品中心1层,,,,
星巴克,40,65,￥33/人,口味:7.9 环境:7.9 服务:8.0,"{""lat"": 121.407168, ""lng"": 31.205753}",上海市,仙霞路99号尚嘉中心LG2层B-011,,,,
星巴克,35,159,￥44/人,口味:7.3 环境:7.1 服务:7.3,"{""lat"": 121.401253, ""lng"": 31.206359}",上海市,仙霞路299号远东国际大厦,,,,
星巴克,40,163,￥36/人,口味:8.1 环境:7.9 服务:7.7,"{""lat"": 121.42694, ""lng"": 31.22865}",上海市,长宁路88号KING88广场1层,,,,
星巴克,35,226,￥36/人,口味:7.6 环境:7.3 服务:7.3,"{""lat"": 121.4647, ""lng"": 31.23171}",上海市,南京西路688号恒基688广场1楼106B室,,,,
星巴克,40,251,￥39/人,口味:7.7 环境:7.7 服务:7.7,"{""lat"": 121.45503, ""lng"": 31.23482}",上海市,昌化路68号,,,,
星巴克,35,527,￥37/人,口味:7.7 环境:7.8 服务:7.4,"{""lat"": 121.450213, ""lng"": 31.224607}",上海市,南京西路1515号静安嘉里中心南区区B2层06号,,,,
星巴克,35,103,￥36/人,口味:7.7 环境:7.8 服务:7.6,"{""lat"": 121.354759, ""lng"": 31.219887}",上海市,天山西路1068号联强国际二期1C单元,,,,
星巴克,35,76,￥41/人,口味:7.7 环境:7.6 服务:7.6,"{""lat"": 121.40268, ""lng"": 31.209249}",上海市,茅台路179号B2LG2583单元,,,,
星巴克,35,818,￥37/人,口味:7.4 环境:7.1 服务:7.3,"{""lat"": 121.41659, ""lng"": 31.219049}",上海市,长宁路1018号龙之梦购物中心B2层F002商铺,,,,
星巴克,0,135,,,"{""lat"": 121.4667, ""lng"": 31.22772}",上海市,成都北路333号104A室,,,,
星巴克,40,172,￥34/人,口味:8.1 环境:8.0 服务:7.9,"{""lat"": 121.439577, ""lng"": 31.278299}",上海市,广中西路777弄55号102室,,,,
星巴克,40,113,￥35/人,口味:7.7 环境:7.7 服务:7.7,"{""lat"": 121.446348, ""lng"": 31.241887}",上海市,安远路108号1F-01室,,,,
星巴克,40,183,￥31/人,口味:7.5 环境:7.7 服务:7.6,"{""lat"": 121.42858, ""lng"": 31.20995}",上海市,延安西路1166号,,,,
