name,stars,review_count,price,score,poi,cityname,address
luckin coffee瑞幸咖啡,45,91,￥20/人,口味:8.5 环境:8.5 服务:8.4,"{""lat"": 121.47963, ""lng"": 31.266995}",上海市,东江湾路167号绿地全球商品直销中心一层绿地创客超市
luckin coffee瑞幸咖啡,40,156,￥27/人,口味:8.4 环境:8.2 服务:8.6,"{""lat"": 121.49135, ""lng"": 31.264421}",上海市,四平路228号上海大世界城1层107~108号
luckin coffee瑞幸咖啡,40,34,￥21/人,口味:7.8 环境:7.7 服务:8.0,"{""lat"": 121.483347, ""lng"": 31.225592}",上海市,人民路885号淮海中华大厦一层103室
luckin coffee瑞幸咖啡,40,49,￥25/人,口味:8.0 环境:7.9 服务:7.9,"{""lat"": 121.488242, ""lng"": 31.295776}",上海市,逸仙路158号宝隆一方大厦一层105-2室
luckin coffee瑞幸咖啡,35,90,￥21/人,口味:7.5 环境:7.3 服务:7.9,"{""lat"": 121.476289, ""lng"": 31.226107}",上海市,普安路10号上海霓虹儿童广场普安店负一层南广号
luckin coffee瑞幸咖啡,40,46,￥21/人,口味:7.7 环境:7.7 服务:7.8,"{""lat"": 121.46169, ""lng"": 31.22425966560619}",上海市,延安中路658号陕西大厦一层大堂
luckin coffee瑞幸咖啡,40,32,￥20/人,口味:7.7 环境:8.1 服务:8.2,"{""lat"": 121.509917, ""lng"": 31.251334}",上海市,东大名路1118号浦江国际金融大厦一层103室
luckin coffee瑞幸咖啡,0,0,,,"{""lat"": 121.485325, ""lng"": 31.251955}",上海市,武进路289号107室
luckin coffee瑞幸咖啡,40,20,￥25/人,口味:7.7 环境:7.7 服务:7.8,"{""lat"": 121.476999, ""lng"": 31.245927}",上海市,海宁路899号长泰企业天地广场A座一层962单元
luckin coffee瑞幸咖啡,40,66,￥20/人,口味:8.2 环境:8.1 服务:8.5,"{""lat"": 121.480863, ""lng"": 31.230378}",上海市,延安东路618号远洋商业大厦一层106室
luckin coffee瑞幸咖啡,40,43,￥23/人,口味:8.0 环境:7.8 服务:7.9,"{""lat"": 121.47607, ""lng"": 31.194627}",上海市,龙华东路647号中电科技大厦一层20室
luckin coffee瑞幸咖啡,0,0,,,"{""lat"": 121.479258, ""lng"": 31.229714}",上海市,延安东路700号102室
瑞幸咖啡,40,38,￥24/人,口味:8.0 环境:8.0 服务:7.8,"{""lat"": 121.484128, ""lng"": 31.248447}",上海市,四川北路865号中信广场一层101-D号
Luckin Coffee瑞幸,0,9,,,"{""lat"": 121.502061, ""lng"": 31.273759}",上海市,大连路1599号
luckin coffee瑞幸咖啡,40,45,￥24/人,口味:8.1 环境:8.2 服务:8.4,"{""lat"": 121.419613, ""lng"": 31.255029}",上海市,铜川路70号新城市中心广场一层大堂
luckin coffee瑞幸咖啡,40,89,￥24/人,口味:7.9 环境:8.1 服务:8.3,"{""lat"": 121.418168, ""lng"": 31.240405}",上海市,中山北路2900号东方国际元中大厦A栋1层大堂
luckin coffee瑞幸咖啡,40,65,￥25/人,口味:8.2 环境:8.2 服务:8.5,"{""lat"": 121.384277, ""lng"": 31.241122}",上海市,梅川路1247号4幢新长征商务大厦一层大堂
luckin coffee瑞幸咖啡,40,176,￥22/人,口味:8.3 环境:8.4 服务:8.5,"{""lat"": 121.393235, ""lng"": 31.222504}",上海市,中江路118弄22号海亮大厦一层101号
luckin coffee瑞幸咖啡,40,92,￥22/人,口味:8.3 环境:8.2 服务:8.3,"{""lat"": 121.37928, ""lng"": 31.234463}",上海市,金沙江路1628弄绿洲中环中心5号楼一层大堂
